date,open,high,low,close,volume,value
2000-01-03,33.76,33.92,32.76,33.27,104635,33.27
2000-01-04,33.15,33.15,30.62,30.88,273826,30.88
2000-01-05,29.17,32.09,29.17,30.00,1830364,30.00
2000-01-06,30.17,32.00,30.17,31.69,714612,31.69
2000-01-07,30.75,32.50,30.50,31.66,518218,31.66
2000-01-10,31.67,32.88,31.67,32.08,626777,32.08
2000-01-11,32.09,32.09,30.50,31.07,205334,31.07
2000-01-12,31.67,31.83,31.25,31.50,69393,31.50
2000-01-13,31.67,31.67,31.09,31.33,27563,31.33
2000-01-14,31.50,31.83,31.09,31.20,226261,31.20
2000-01-17,31.59,31.59,31.00,31.33,1602376,31.33
2000-01-18,31.25,32.67,31.09,31.73,473748,31.73
2000-01-19,31.78,32.49,31.25,31.41,493355,31.41
2000-01-20,31.33,31.50,30.75,30.93,308865,30.93
2000-01-21,31.05,31.05,30.59,30.78,71516,30.78
2000-01-24,32.09,32.09,29.35,29.60,72416,29.60
2000-01-25,29.17,30.00,28.75,29.05,628721,29.05
2000-01-27,29.59,31.37,29.17,30.49,1628763,30.49
2000-01-28,28.11,32.70,28.11,31.27,959172,31.27
2000-01-31,30.83,32.09,30.83,31.85,373793,31.85
2000-02-01,31.67,32.50,31.33,31.58,727404,31.58
2000-02-02,32.00,34.09,31.88,33.36,2023771,33.36
2000-02-03,33.34,33.76,30.69,31.82,1118920,31.82
2000-02-04,32.75,32.75,30.61,30.91,299193,30.91
2000-02-07,32.09,32.09,30.03,30.70,91171,30.70
2000-02-08,30.81,30.83,28.40,29.49,411135,29.49
2000-02-09,30.75,31.85,29.34,31.73,1579829,31.73
2000-02-10,30.71,31.21,29.19,29.19,460081,29.19
2000-02-11,29.99,30.00,26.86,27.31,298785,27.31
2000-02-14,27.42,29.49,26.67,29.34,621749,29.34
2000-02-15,31.50,31.50,27.00,27.75,319520,27.75
2000-02-16,28.17,28.59,27.09,27.51,198230,27.51
2000-02-17,27.50,27.71,26.83,27.31,164632,27.31
2000-02-18,27.33,27.50,25.13,25.13,306921,25.13
2000-02-21,24.19,25.83,24.19,24.50,515674,24.50
2000-02-22,24.50,24.50,22.54,22.54,1146507,22.54
2000-02-23,22.59,23.42,20.74,22.04,1335785,22.04
2000-02-24,21.67,22.75,21.33,22.51,302397,22.51
2000-02-25,22.67,22.92,22.36,22.51,480480,22.51
2000-02-28,23.29,24.31,22.42,24.30,214153,24.30
2000-02-29,26.17,26.25,22.51,22.86,459721,22.86
2000-03-01,24.38,24.38,22.92,23.00,325304,23.00
2000-03-02,22.92,24.17,21.17,21.43,310604,21.43
2000-03-03,21.25,21.25,20.01,20.79,411255,20.79
2000-03-06,20.79,20.92,19.13,19.13,549549,19.13
2000-03-07,18.83,19.58,17.60,17.60,158848,17.60
2000-03-08,16.50,17.33,16.25,16.33,430838,16.33
2000-03-09,16.50,17.00,15.42,16.49,1275068,16.49
2000-03-10,16.49,17.07,16.11,16.56,977591,16.56
2000-03-13,16.58,17.09,16.25,16.57,387125,16.57
2000-03-14,16.59,17.86,16.42,17.74,329060,17.74
2000-03-15,18.13,19.16,17.85,18.63,2253115,18.63
2000-03-16,18.75,18.92,17.92,18.58,121026,18.58
2000-03-21,18.67,20.07,18.33,20.03,387749,20.03
2000-03-22,20.00,21.50,19.92,21.29,469837,21.29
2000-03-23,19.93,22.13,19.93,21.85,251399,21.85
2000-03-24,21.17,21.68,20.11,20.43,323624,20.43
2000-03-27,19.83,20.83,18.80,18.83,132617,18.83
2000-03-28,19.09,20.33,18.33,20.33,151624,20.33
2000-03-29,21.67,21.96,21.29,21.85,381473,21.85
2000-03-30,21.25,21.33,20.45,20.99,757294,20.99
2000-03-31,20.92,22.33,20.41,21.71,212209,21.71
2000-04-03,22.25,23.45,22.03,23.45,162952,23.45
2000-04-04,22.92,23.15,21.93,22.38,556640,22.38
2000-04-05,22.18,22.49,20.85,21.61,203330,21.61
2000-04-06,21.67,21.67,20.10,21.23,183243,21.23
2000-04-07,21.67,22.92,21.67,22.73,234708,22.73
2000-04-10,22.92,23.17,22.25,22.39,204026,22.39
2000-04-12,22.26,22.50,21.67,21.80,127854,21.80
2000-04-13,20.83,22.50,20.67,21.71,375053,21.71
2000-04-17,20.03,21.67,20.03,20.61,220429,20.61
2000-04-18,20.83,20.83,19.79,19.99,321080,19.99
2000-04-19,21.17,21.17,18.39,18.56,785373,18.56
2000-04-20,18.51,18.51,17.09,17.45,1167362,17.45
2000-04-24,17.50,17.50,17.01,17.08,575455,17.08
2000-04-25,16.92,16.92,16.17,16.37,1430280,16.37
2000-04-26,16.86,16.86,16.33,16.44,1398926,16.44
2000-04-27,16.66,16.96,15.28,15.89,574435,15.89
2000-04-28,15.75,15.83,14.62,14.62,929306,14.62
2000-05-02,14.83,14.83,12.87,12.89,928346,12.89
2000-05-03,12.38,14.33,12.38,13.57,1384383,13.57
2000-05-04,13.75,14.31,13.33,14.07,1053955,14.07
2000-05-05,14.09,14.09,13.18,13.46,2057225,13.46
2000-05-08,13.35,13.71,12.93,13.02,714168,13.02
2000-05-09,12.88,13.33,12.61,13.25,583255,13.25
2000-05-10,13.50,13.71,13.21,13.49,838194,13.49
2000-05-11,13.54,13.54,13.17,13.31,7347077,13.31
2000-05-12,13.11,13.33,12.94,13.13,3320510,13.13
2000-05-15,12.96,13.25,12.75,12.83,5192548,12.83
2000-05-16,13.05,13.50,12.92,13.35,340783,13.35
2000-05-17,14.17,14.92,13.69,14.28,1377159,14.28
2000-05-18,14.33,16.00,14.01,16.00,1587389,16.00
2000-05-19,16.09,16.49,14.33,15.18,3402502,15.18
2000-05-22,14.59,15.59,14.59,15.50,569540,15.50
2000-05-23,15.21,16.17,15.09,15.77,508499,15.77
2000-05-24,15.83,17.66,15.83,17.66,944305,17.66
2000-05-25,18.00,19.77,17.59,19.13,1677900,19.13
2000-05-26,19.00,20.50,18.67,20.03,1777999,20.03
2000-05-29,20.33,20.67,19.67,20.03,921014,20.03
2000-05-30,20.00,20.00,18.55,19.13,3186741,19.13
2000-05-31,19.17,19.17,16.92,17.12,1082238,17.12
2000-06-01,16.35,16.42,15.07,15.09,3211711,15.09
2000-06-02,15.17,15.75,15.09,15.25,1942787,15.25
2000-06-05,15.40,17.07,15.40,16.28,2130709,16.28
2000-06-06,16.05,16.46,15.75,16.28,519406,16.28
2000-06-07,16.59,17.58,16.59,17.31,1378755,17.31
2000-06-08,17.42,18.33,17.17,17.93,714480,17.93
2000-06-09,18.17,18.17,17.61,18.07,565184,18.07
2000-06-12,18.09,18.11,17.17,17.87,470832,17.87
2000-06-13,18.17,18.39,17.59,18.21,553760,18.21
2000-06-14,18.33,18.67,18.01,18.10,192734,18.10
2000-06-15,17.76,17.92,17.51,17.68,125118,17.68
2000-06-16,17.36,17.96,17.36,17.79,253655,17.79
2000-06-19,17.79,18.33,17.75,18.01,207038,18.01
2000-06-20,17.79,18.42,17.79,18.10,271786,18.10
2000-06-21,18.33,18.83,17.93,18.22,660771,18.22
2000-06-22,18.23,18.66,18.09,18.19,136073,18.19
2000-06-23,18.33,18.55,17.39,17.69,367686,17.69
2000-06-26,17.17,17.25,15.97,16.27,2465901,16.27
2000-06-27,15.68,16.58,15.68,16.20,351342,16.20
2000-06-28,16.19,16.35,15.85,16.25,425559,16.25
2000-06-29,15.93,17.17,15.83,16.53,303837,16.53
2000-06-30,16.42,16.55,15.96,16.03,306537,16.03
2000-07-03,16.40,16.66,16.11,16.22,192086,16.22
2000-07-04,16.25,16.33,16.00,16.23,635524,16.23
2000-07-05,16.42,16.93,16.41,16.85,551720,16.85
2000-07-06,17.50,17.50,16.51,16.57,558488,16.57
2000-07-07,16.67,16.92,16.55,16.87,181935,16.87
2000-07-10,17.00,17.50,17.00,17.37,442982,17.37
2000-07-11,17.46,20.09,17.35,19.63,846342,19.63
2000-07-12,20.25,20.25,18.47,18.69,738995,18.69
2000-07-13,18.91,18.92,18.42,18.55,188751,18.55
2000-07-14,18.42,18.92,18.34,18.66,244428,18.66
2000-07-17,18.51,19.29,18.51,18.78,244752,18.78
2000-07-18,18.71,18.71,17.85,18.07,665847,18.07
2000-07-19,17.49,18.00,16.92,16.99,1004374,16.99
2000-07-20,16.75,17.17,16.50,16.59,1686264,16.59
2000-07-21,16.75,16.95,16.59,16.63,1543519,16.63
2000-07-24,16.27,16.42,15.33,15.87,2416955,15.87
2000-07-25,15.51,16.83,15.35,16.51,1931375,16.51
2000-07-26,16.23,16.23,15.29,15.77,1510172,15.77
2000-07-27,15.67,15.75,15.13,15.18,1159010,15.18
2000-07-28,15.26,15.33,14.83,15.09,1246738,15.09
2000-07-31,15.01,15.33,14.83,15.07,348955,15.07
2000-08-01,14.25,15.03,14.17,14.76,779961,14.76
2000-08-02,14.83,15.09,14.67,14.89,257435,14.89
2000-08-03,14.35,15.03,14.35,14.93,266387,14.93
2000-08-04,15.00,15.00,14.67,14.85,445814,14.85
2000-08-07,14.60,15.33,14.60,15.08,599226,15.08
2000-08-08,15.17,15.39,15.00,15.29,795692,15.29
2000-08-09,15.83,15.83,14.51,14.71,1114252,14.71
2000-08-10,14.91,14.91,13.83,14.11,1489102,14.11
2000-08-11,14.00,14.16,13.30,13.40,1390562,13.40
2000-08-14,13.49,13.63,13.25,13.47,732491,13.47
2000-08-16,13.69,13.75,13.42,13.53,504311,13.53
2000-08-17,13.59,14.42,13.44,13.86,1893049,13.86
2000-08-18,13.99,14.00,13.63,13.78,468157,13.78
2000-08-21,13.92,14.08,13.77,13.97,511174,13.97
2000-08-22,13.92,14.05,13.76,13.83,663531,13.83
2000-08-23,13.76,14.49,13.75,13.94,215005,13.94
2000-08-24,13.67,14.07,13.67,14.00,93319,14.00
2000-08-25,14.09,14.09,13.92,13.98,238884,13.98
2000-08-28,13.60,14.05,13.59,14.01,219949,14.01
2000-08-29,14.42,14.42,13.84,14.01,285214,14.01
2000-08-30,14.25,14.66,14.18,14.37,541857,14.37
2000-08-31,14.39,14.88,14.05,14.67,781089,14.67
2000-09-04,14.79,15.00,14.61,14.72,380117,14.72
2000-09-05,15.01,15.83,14.92,15.56,790676,15.56
2000-09-06,15.75,15.83,15.25,15.43,375533,15.43
2000-09-07,15.21,15.49,14.97,15.08,406552,15.08
2000-09-08,15.21,15.21,14.77,14.91,379385,14.91
2000-09-11,14.50,15.17,14.50,14.91,317780,14.91
2000-09-12,14.86,15.33,14.86,15.00,337735,15.00
2000-09-13,15.32,15.55,15.17,15.31,276334,15.31
2000-09-14,15.50,15.83,15.27,15.50,639400,15.50
2000-09-15,15.59,15.59,14.60,14.97,1080054,14.97
2000-09-18,14.67,14.92,14.09,14.45,991654,14.45
2000-09-19,14.17,14.55,13.59,13.79,1310478,13.79
2000-09-20,14.17,14.75,14.05,14.38,300861,14.38
2000-09-21,14.58,16.00,14.58,15.16,2147725,15.16
2000-09-22,15.42,15.58,14.77,14.95,1733037,14.95
2000-09-25,15.25,15.67,14.83,15.10,530205,15.10
2000-09-26,15.33,15.33,14.67,14.75,1168358,14.75
2000-09-27,15.00,15.49,14.88,15.43,769234,15.43
2000-09-28,15.59,16.00,14.92,14.97,1764788,14.97
2000-09-29,15.60,15.66,12.77,13.61,5279004,13.61
2000-10-03,13.09,13.59,12.59,13.19,2550892,13.19
2000-10-04,13.58,13.58,13.21,13.33,1422625,13.33
2000-10-05,13.33,13.41,13.11,13.16,776637,13.16
2000-10-06,12.59,13.07,12.50,12.58,2192434,12.58
2000-10-09,12.83,12.83,12.52,12.61,717948,12.61
2000-10-10,12.59,12.70,12.30,12.35,1513064,12.35
2000-10-11,12.25,12.74,12.25,12.59,1503681,12.59
2000-10-12,12.55,12.67,12.45,12.65,401668,12.65
2000-10-13,12.50,12.75,12.46,12.51,975191,12.51
2000-10-16,12.92,13.29,12.68,13.18,1815833,13.18
2000-10-17,13.33,13.33,12.81,12.90,1030820,12.90
2000-10-18,13.07,13.13,12.70,13.07,225829,13.07
2000-10-19,12.88,13.50,12.88,13.35,735611,13.35
